"electorate_id","postcode_id","population","total_postcode_population","proportion"
"1","76","6568","6568","1.00"
"1","262","4810","4810","1.00"
"1","729","6634","7979","0.83"
"1","845","7071","7071","1.00"
"1","1021","3013","5026","0.60"
"1","1138","6092","6092","1.00"
"1","1768","8220","8220","1.00"
"1","1792","11455","12039","0.95"
"1","1879","7078","7078","1.00"
"1","1889","7459","7459","1.00"
"1","2157","6159","10888","0.57"
"1","2525","3619","8016","0.45"
"1","2638","7464","10053","0.74"
"1","2893","2591","11323","0.23"
"1","2949","12046","12046","1.00"
"1","3452","3966","12414","0.32"
"1","3933","8312","8312","1.00"
"1","5347","3059","7868","0.39"
"1","6109","5216","5216","1.00"
"1","9702","87","87","1.00"
"2","534","9586","17117","0.56"
"2","996","14743","18394","0.80"
"2","2909","22139","32053","0.69"
"2","4419","6282","6282","1.00"
"2","7144","31092","31092","1.00"
"2","7281","5193","5193","1.00"
"2","7710","27354","27354","1.00"
"3","75","12053","13497","0.89"
"3","90","49753","49753","1.00"
"3","332","16088","16308","0.99"
"3","384","2872","2872","1.00"
"3","853","1907","1907","1.00"
"3","1095","3757","7045","0.53"
"3","1175","3083","3083","1.00"
"3","1274","1108","1108","1.00"
"3","1289","3000","3000","1.00"
"3","1828","1497","1497","1.00"
"3","2324","2276","2276","1.00"
"3","2497","3514","3514","1.00"
"3","2687","453","453","1.00"
"3","2901","1514","1514","1.00"
"3","3456","1386","1386","1.00"
"3","7317","12927","12927","1.00"
"3","8678","11853","11853","1.00"
"4","103","6491","9951","0.65"
"4","365","6341","11667","0.54"
"4","736","5897","10291","0.57"
"4","2612","15253","15253","1.00"
"4","3927","5334","16547","0.32"
"4","4608","3","19318","0.00"
"4","4907","19686","20337","0.97"
"4","5587","14685","14685","1.00"
"4","6389","11679","12098","0.97"
"4","6550","7762","7762","1.00"
"4","6970","9506","10371","0.92"
"5","106","7916","7916","1.00"
"5","161","3586","3586","1.00"
"5","314","943","943","1.00"
"5","477","3102","3102","1.00"
"5","543","6972","6972","1.00"
"5","704","4598","4598","1.00"
"5","828","2143","2143","1.00"
"5","854","559","559","1.00"
"5","950","5895","5895","1.00"
"5","991","2587","2587","1.00"
"5","1000","539","539","1.00"
"5","1075","1277","1277","1.00"
"5","1391","229","229","1.00"
"5","1405","5294","5294","1.00"
"5","1414","1904","2089","0.91"
"5","1417","3366","3366","1.00"
"5","1483","955","955","1.00"
"5","1846","393","393","1.00"
"5","1852","157","5177","0.03"
"5","1973","6610","6610","1.00"
"5","1979","446","446","1.00"
"5","1988","757","757","1.00"
"5","2005","1279","1279","1.00"
"5","2016","210","210","1.00"
"5","2578","588","588","1.00"
"5","2656","303","1632","0.19"
"5","3033","500","500","1.00"
"5","3289","2396","2396","1.00"
"5","3302","849","849","1.00"
"5","4052","623","623","1.00"
"5","4111","472","472","1.00"
"5","4231","2020","2020","1.00"
"5","4304","365","365","1.00"
