"id","last_name","first_name","email","parliament_phone","parliament_fax","office_address","office_suburb","office_state","office_postcode","office_fax","office_phone","party_id","electorate_id","created_at","updated_at","mailing_address","mailing_suburb","mailing_state","mailing_postcode"
"1","Abbott","Tony","tony.abbott.mp@aph.gov.au","(02) 6277 4722","(02) 6277 8403","Level 2, 17 Sydney Road","Manly","NSW","2095","(02) 9977 8715","(02) 9977 6411","2","144","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 450","Manly","NSW","2095"
"2","Albanese","Anthony","A.Albanese.MP@aph.gov.au","(02) 6277 4664","(02) 6277 8532","334A Marrickville Road","Marrickville","NSW","2204","(02) 9564 1734","(02) 9564 3588","1","63","2018-02-16 10:24:42","2018-02-16 10:24:42","334A Marrickville Road","Marrickville","NSW","2204"
"3","Alexander","John","john.alexander.mp@aph.gov.au","(02) 6277 4804","(02) 6277 8581","Suite 1, 44 - 46 Oxford St","Epping","NSW","2121","(02) 9869 4833","(02) 9869 4288","2","10","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 872","Epping","NSW","2121"
"4","Andrews","Karen","Karen.Andrews.MP@aph.gov.au","(02) 6277 4360","(02) 6277 8462","Ground Floor The Point 47 Watts Drive","Varsity Lakes","QLD","4227","(07) 5580 9700","(07) 5580 9111","2","105","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 409","Varsity Lakes","QLD","4227"
"5","Andrews","Kevin","menzies@aph.gov.au","(02) 6277 4023","(02) 6277 4074","1st Floor 651-653 Doncaster Road","Doncaster","VIC","3108","(03) 9848 2741","(03) 9848 9900","2","108","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 124","Doncaster","VIC","3108"
"6","Swanson","Meryl","Meryl.Swanson.MP@aph.gov.au","(02) 6277 4248","(02) 6277 8487","35 Sturgeon Street","Raymond Terrace","NSW","2324",,"(02) 4983 2401","1","122","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 156","Raymond Terrace","NSW","2324"
"7","Bandt","Adam","adam.bandt.mp@aph.gov.au","(02) 6277 4775","(02) 6277 8583","296 Brunswick Street","Fitzroy","VIC","3065","(03) 9417 2737","(03) 9417 0759","3","106","2018-02-16 10:24:42","2018-02-16 10:24:42","296 Brunswick Street","Fitzroy","VIC","3065"
"8","Crewther","Chris","Chris.Crewther.MP@aph.gov.au","(02) 6277 4710","(02) 6277 8549","435 Nepean Highway","Frankston","VIC","3199","(03) 9783 7912","(03) 9781 2333","2","43","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 501","Frankston","VIC","3199"
"9","Bird","Sharon","Sharon.Bird.MP@aph.gov.au","(02) 6277 4244","(02) 6277 4260","74 Crown Street","Wollongong","NSW","2500","(02) 4228 5077","(02) 4228 5899","1","36","2018-02-16 10:24:42","2018-02-16 10:24:42","PO Box 387","Wollongong","NSW","2520"
"10","Falinski","Jason","Jason.Falinski.MP@aph.gov.au","(02) 6277 2324","(02) 6277 8555","Shop 1, 1238-1246, Pittwater Road","Narrabeen","NSW","2101","(02) 9913 9577","(02) 8484 0300","2","95","2018-02-16 10:24:42","2018-02-16 10:24:42","Shop 1, 1238-1246, Pittwater Road","Narrabeen","NSW","2101"
