last_name,first_name,email,courtesy,salutation,honorific,gender,parliament_phone,parliament_fax,office_address,office_suburb,office_state,office_postcode,office_fax,office_phone,office_tollfree,titles,party_name,electorate_name,jurisdiction
Smith,T,Mount.Ommaney@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 3279 5137,(07) 3279 0645,PO Box 1153,MOUNT OMMANEY  QLD  4074,QLD,4074,(07) 3279 0645,(07) 3279 5137,,Deputy Government Whip,LNP,Mount Ommaney,QLD
Bates,R M,Mudgeeraba@parliament.qld.gov.au,Hon,Hon,MP,F,(07) 3224 2880,(07) 5569 0675,PO Box 897,MUDGEERABA  QLD  4213,QLD,4213,(07) 5569 0675,(07) 5569 0482,,"Minister for Science, IT, Innovation and the Arts ",LNP,Mudgeeraba,QLD
Bleijie,J,Kawana@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3247 9068,(07) 5478 1815,PO Box 1200,BUDDINA  QLD  4575,QLD,4575,(07) 5478 1815,(07) 5478 1189,,Attorney-General and Minister for Justice,LNP,Kawana,QLD
Trad,J,South.Brisbane@parliament.qld.gov.au,Ms,Ms,MP,F,(07) 3255 3615,(07) 3255 3627,PO Box 5326,WEST END  QLD  4101,QLD,4101,(07) 3255 3627,(07) 3255 3615,,"Shadow Minister for Transport, Environment and Heritage Protection, Small Business, Consumer Affairs and The Arts",ALP,South Brisbane,QLD
King,G R,Cairns@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 4051 2868,(07) 4051 6760,PO Box 5697,CAIRNS  QLD  4870,QLD,4870,(07) 4051 6760,(07) 4051 2868,,Assistant Minister for Tourism,LNP,Cairns,QLD
Davies,S W,Capalaba@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3245 6950,(07) 3245 4871,PO Box 523,CAPALABA  QLD  4157,QLD,4157,(07) 3245 4871,(07) 3245 6950,,,LNP,Capalaba,QLD
Crandon,M J,Coomera@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 5514 0483,(07) 5514 0634,PO Box 80,OXENFORD  QLD  4210,QLD,4210,(07) 5514 0634,(07) 5514 0483,1800 224 650,,LNP,Coomera,QLD
Cripps,A P,Hinchinbrook@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 4776 1428,(07) 4776 3503,PO Box 1515,INGHAM  QLD  4850,QLD,4850,(07) 4776 3503,(07) 4776 1428,1800 810 656,Minister for Natural Resources and Mines,LNP,Hinchinbrook,QLD
Barton,V M,Broadwater@parliament.qld.gov.au,Miss,Miss,MP,F,(07) 5563 9010,(07) 5529 6070,PO Box 644,LABRADOR  QLD  4215,QLD,4215,(07) 5529 6070,(07) 5563 9010,,,LNP,Broadwater,QLD
Cunningham,E A,Gladstone@parliament.qld.gov.au,Mrs,Mrs,MP,F,(07) 4978 4650,(07) 4978 4459,PO Box 1592,GLADSTONE  QLD  4680,QLD,4680,(07) 4978 4459,(07) 4978 4650,1800 810 547,"Chair, Parliamentary Crime and Misconduct Committee, Temporary Chair of Committees",IND,Gladstone,QLD
Millard,K N,Sandgate@parliament.qld.gov.au,Ms,Ms,MP,F,(07) 3269 7018,(07) 3269 1179,PO Box 496,SANDGATE  QLD  4017,QLD,4017,(07) 3269 1179,(07) 3269 7018,,,LNP,Sandgate,QLD
Davis,T E,Aspley@parliament.qld.gov.au,Hon,Hon,MP,F,(07) 3235 4280,(07) 3263 4253,"Shop 2, 1315 Gympie Road",ASPLEY  QLD  4034,QLD,4034,(07) 3263 4253,(07) 3263 6703,,"Minister for Communities, Child Safety and Disability Services",LNP,Aspley,QLD
Dempsey,J M,Bundaberg@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3239 0199,(07) 4152 8726,PO Box 935,BUNDABERG  QLD  4670,QLD,4670,(07) 4152 8726,(07) 4152 1476,,Minister for Police and Community Safety,LNP,Bundaberg,QLD
Kaye,I S,Greenslopes@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3394 3956,(07) 3397 0354,"Shop 3, Coorparoo Village Shopping Centre",358 Old Cleveland Road,QLD,4151,(07) 3397 0354,(07) 3394 3956,,,LNP,Greenslopes,QLD
Dickson,S L,Buderim@parliament.qld.gov.au,Hon,Hon,MP,M,(07) 3224 7477,(07) 5453 7802,PO Box 187,BUDERIM  QLD  4556,QLD,4556,(07) 5453 7802,(07) 5450 1115,,"Minister for National Parks, Recreation, Sport and Racing",LNP,Buderim,QLD
Douglas,A R,Gaven@parliament.qld.gov.au,Dr,Dr,MP,M,(07) 5502 1411,(07) 5502 1433,"Units 4 and 5, 12 Ferry Street ",NERANG QLD 4211,QLD,4211,(07) 5502 1433,(07) 5502 1411,1800 819 905,,LNP,Gaven,QLD
Dowling,P J,Redlands@parliament.qld.gov.au,Mr,Mr,MP,M,(07) 3207 6910,(07) 3207 6897,PO Box 3667,VICTORIA POINT WEST  QLD  4165,QLD,4165,(07) 3207 6897,(07) 3207 6910,,,LNP,Redlands,QLD
