"id","number","state","created_at","updated_at","longitude","latitude"
"1","3231","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","144.107","-38.4594"
"2","4802","QLD","2018-02-16 10:20:39","2018-02-16 10:20:39","148.716","-20.2679"
"3","3862","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","147.187","-37.5735"
"4","3042","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","144.887","-37.7117"
"5","4807","QLD","2018-02-16 10:20:39","2018-02-16 10:20:39","147.444","-19.5469"
"6","4814","QLD","2018-02-16 10:20:39","2018-02-16 10:20:39","146.764","-19.2977"
"7","6536","WA","2018-02-16 10:20:39","2018-02-16 10:20:39","114.164","-27.7106"
"8","7216","TAS","2018-02-16 10:20:39","2018-02-16 10:20:39","148.317","-41.3045"
"9","2546","NSW","2018-02-16 10:20:39","2018-02-16 10:20:39","150.077","-36.3558"
"10","2084","NSW","2018-02-16 10:20:39","2018-02-16 10:20:39","151.204","-33.6196"
"11","3147","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","145.079","-37.8634"
"12","7248","TAS","2018-02-16 10:20:39","2018-02-16 10:20:39","147.134","-41.4158"
"13","0810","NT","2018-02-16 10:20:39","2018-02-16 10:20:39","130.877","-12.3785"
"14","3424","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","141.975","-35.6919"
"15","3021","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","144.77","-37.7459"
"16","6330","WA","2018-02-16 10:20:39","2018-02-16 10:20:39","117.884","-35.0239"
"17","4035","QLD","2018-02-16 10:20:39","2018-02-16 10:20:39","152.968","-27.3455"
"18","2873","NSW","2018-02-16 10:20:39","2018-02-16 10:20:39","147.508","-32.4159"
"19","3206","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","144.956","-37.8407"
"20","5014","SA","2018-02-16 10:20:39","2018-02-16 10:20:39","138.521","-34.8783"
"21","3971","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","146.666","-38.6114"
"23","3020","VIC","2018-02-16 10:20:39","2018-02-16 10:20:39","144.819","-37.776"
"24","4010","QLD","2018-02-16 10:20:39","2018-02-16 10:20:39","153.045","-27.428"
"25","2527","NSW","2018-02-16 10:20:39","2018-02-16 10:20:39","150.775","-34.5707"
"27","2640","NSW","2018-02-16 10:20:39","2018-02-16 10:20:39","146.91","-36.0821"
"30","7330","TAS","2018-02-16 10:20:39","2018-02-16 10:20:39","145.185","-40.9349"
"31","2440","NSW","2018-02-16 10:20:39","2018-02-16 10:20:39","152.768","-31.0589"
"32","4051","QLD","2018-02-16 10:20:39","2018-02-16 10:20:39","153.001","-27.4244"
"33","4659","QLD","2018-02-16 10:20:39","2018-02-16 10:20:39","152.627","-25.2926"
