"id","name","jurisdiction_id"
"1","Federal QLD","9"
"2","Federal NSW","9"
"3","Federal WA","9"
"4","Federal NT","9"
"5","Federal SA","9"
"6","Federal VIC","9"
"7","Federal ACT","9"
"8","Federal TAS","9"
"9","Montgomery","8"
"10","Huon","8"
"11","Mersey","8"
"12","Western Tiers","8"
"13","Rumney","8"
"14","Apsley","8"
"15","Windermere","8"
"16","Murchison","8"
"17","Derwent","8"
"18","Rosevears","8"
"19","Hobart","8"
"20","Pembroke","8"
"21","Elwick","8"
"22","Nelson","8"
"23","Launceston","8"
"24","Northern Victoria","4"
"25","Northern Metropolitan","4"
"26","Western Metropolitan","4"
"27","Eastern Victoria","4"
"28","Western Victoria","4"
"29","Southern Metropolitan","4"
"30","South Eastern Metro","4"
"31","Eastern Metropolitan","4"
"32","South West","5"
"33","Agricultural","5"
"34","Mining & Pastoral","5"
"35","East Metropolitan","5"
"36","South Metropolitan","5"
"37","North Metropolitan","5"
"38","State NSW","1"
"39","State SA","3"
"40","State ACT","6"
"41","State NT","7"
"43","State WA","5"
