"id","last_name","first_name","email","state","parliament_phone","parliament_fax","office_address","office_suburb","office_state","office_postcode","office_fax","office_phone","mailing_address","mailing_suburb","mailing_state","mailing_postcode","party_id","created_at","updated_at","region_id"
"1","Abetz","Eric","senator.abetz@aph.gov.au","TAS","(02) 6277 3019","(02) 6277 5872","Highbury House, 136 Davey Street","Hobart","Tas","7000","(03) 6224 3709","(03) 6224 3707","GPO Box 1675","Hobart","Tas","7001","2","2018-03-20 23:53:30","2018-03-20 23:53:30","8"
"2","Brockman","Slade","senator.brockman@aph.gov.au","WA","(02) 6277 3764",,"Level 40, Exchange Tower, 2 The Esplanade","Perth","WA","6000",,"(08) 9414 7288","Level 40, Exchange Tower, 2 The Esplanade","Perth","WA","6000","2","2018-03-20 23:53:30","2018-03-20 23:53:30","3"
"3","Bernardi","Cory","senator.bernardi@aph.gov.au","SA","(02) 6277 3278","(02) 6277 5783","36 Grenfell Street","Kent Town","SA","5067","(08) 8362 8579","(08) 8362 8600","PO Box 2192","Kent Town","SA","5071","6","2018-03-20 23:53:30","2018-03-20 23:53:30","5"
"4","Bilyk","Catryna","senator.Bilyk@aph.gov.au","TAS","(02) 6277 3349","(02) 6277 5799","Shop 3, Kingston Plaza, 20 Channel Highway","Kingston","Tas","7050","(03) 6229 4100","(03) 6229 4444","PO Box 320","Kingston","Tas","7051","1","2018-03-20 23:53:30","2018-03-20 23:53:30","8"
"5","Birmingham","Simon","senator.Birmingham@aph.gov.au","SA","(02) 6277 7350",,"107 Sir Donald Bradman Drive","Hilton","SA","5033","(08) 8354 1655","(08) 8354 1644","107 Sir Donald Bradman Drive","Hilton","SA","5033","2","2018-03-20 23:53:30","2018-03-20 23:53:30","5"
"9","Stoker","Amanda","senator.stoker@aph.gov.au","QLD","(02) 6277 3457","(02) 6277 3573","Suite 7, Level 36 Waterfront Place, 1 Eagle Street","Brisbane","QLD","4000","(07) 3001 8178","(07) 3001 8170","GPO Box 228","Brisbane","QLD","4001","2","2018-03-20 23:53:30","2018-03-20 23:53:30","1"
"10","Brown","Carol","senator.carol.brown@aph.gov.au","TAS","(02) 6277 3336","(02) 6277 3660","AMP Building, Ground Floor, 27 Elizabeth Street","Hobart","Tas","7001","(03) 6231 3009","(03) 6231 0099","GPO Box 376","Hobart","Tas","7001","1","2018-03-20 23:53:30","2018-03-20 23:53:30","8"
"11","Bushby","David","senator.Bushby@aph.gov.au","TAS","(02) 6277 3404","(02) 6277 3403","Suite 1, 71 Paterson Street","Launceston","TAS","7250",,"(03) 6331 8501","PO Box 97","Launceston","TAS","7250","2","2018-03-20 23:53:30","2018-03-20 23:53:30","8"
"12","Cameron","Doug","senator.Cameron@aph.gov.au","NSW","(02) 6277 3367","(02) 6277 5802","Unit 6, 5 Raymond Road","Springwood","NSW","2777","(02) 4751 3288","(02) 4751 4288","PO Box 322","Springwood","NSW","2777","1","2018-03-20 23:53:30","2018-03-20 23:53:30","2"
"13","Carr","Kim","senator.carr@aph.gov.au","VIC","(02) 6277 3776","(02) 6277 5837","62 Lygon Street","Carlton South","Vic","3053","(03) 9639 3109","(03) 9639 2798","62 Lygon Street","Carlton South","Vic","3053","1","2018-03-20 23:53:30","2018-03-20 23:53:30","6"
