"Warringah,","Level 2, 17 Sydney Road (PO Box 450), Manly",Tel: (02) 6277 7700
NSW,NSW 2095,Fax: (02) 6273 4100
,"Tel : (02) 9977 6411, Fax : (02) 9977 8715",
,E-mail: Tony.Abbott.MP@aph.gov.au,
,,
,,
"Grayndler,","334A Marrickville Road, Marrickville NSW 2204",Tel: (02) 6277 4664
NSW,"Tel : (02) 9564 3588, Fax : (02) 9564 1734",Fax: (02) 6277 8532
,E-mail: A.Albanese.MP@aph.gov.au,
,,
"Bennelong,","Suite 1, 44 - 46 Oxford St (PO Box 872), Epping",Tel: (02) 6277 4804
NSW,NSW 2121,Fax: (02) 6277 8581
,"Tel : (02) 9869 4288, Fax : (02) 9869 4833",
,E-mail: john.alexander.mp@aph.gov.au,
,,
,,
"McPherson,","Ground Floor The Point 47 Watts Drive (PO Box 409),",Tel: (02) 6277 4360
Qld,Varsity Lakes Qld 4227,Fax: (02) 6277 8462
,"Tel : (07) 5580 9111, Fax : (07) 5580 9700",
,E-mail: karen.andrews.mp@aph.gov.au,
,,
"Menzies,","1st Floor 651-653 Doncaster Road (PO Box 124),",Tel: (02) 6277 7560
Vic,Doncaster Vic 3108,Fax: (02) 6273 4122
,"Tel : (03) 9848 9900, Fax : (03) 9848 2741",
,E-mail: menzies@aph.gov.au,
,,
,,
"Paterson,","35 Sturgeon Street (PO Box 156), Raymond Terrace",Tel: (02) 6277 4200
NSW,NSW 2324,Fax: (02) 6277 8447
,"Tel : (02) 4983 1330, Fax : (02) 4987 5444",
,E-mail: Bob.Baldwin.MP@aph.gov.au,
,,
,,
"Melbourne,","280 King St, Melbourne Vic 3000",Tel: (02) 6277 4775
Vic,"Tel : (03) 9642 0922, Fax : (03) 9642 0599",Fax: (02) 6277 8583
,E-mail: adam.bandt.mp@aph.gov.au,
,,
,,
"Dunkley,","20 Davey Street (PO Box 501), Frankston Vic 3199",Tel: (02) 6277 7930
Vic,"Tel : (03) 9781 2333, Fax : (03) 9783 7912",Fax: (02) 6273 0434
,E-mail: B.Billson.MP@aph.gov.au,
,,
,,
"Cunningham,","74 Crown Street (PO Box 387, 2520), Wollongong",Tel: (02) 6277 4244
NSW,NSW 2500,Fax: (02) 6277 4260
,"Tel : (02) 4228 5899, Fax : (02) 4228 5077",
,E-mail: Sharon.Bird.MP@aph.gov.au,
,,
,,
"Mackellar,","Shop 1, 1238-1246 Pittwater Road, Narrabeen",Tel: (02) 6277 4382
NSW,NSW 2101,Fax: (02) 6277 8424
,"Tel : (02) 9913 9566, Fax : (02) 9913 9577",
,E-mail: Bronwyn.Bishop.MP@aph.gov.au,
,,
"Curtin,","414 Rokeby Road (PO Box 2010,, Subiaco WA 6904),",Tel: (02) 6277 7500
WA,Subiaco WA 6008,Fax: (02) 6273 4112
,"Tel : (08) 9388 0288, Fax : (08) 9388 0299",
,,
,E-mail: Julie.Bishop.MP@aph.gov.au,
,,
"McMahon,","Shops 3 & 4 (PO Box W210), 398 Hamilton Road,",Tel: (02) 6277 4822
,,
NSW,Fairfield NSW 2165,Fax: (02) 6277 8587
,"Tel : (02) 9604 0710, Fax : (02) 9609 3873",
,E-mail: Chris.Bowen.MP@aph.gov.au,
,,
,,
"Mayo,","Shop 1, 72 Gawler Street (PO Box 1601), Mount",Tel: (02) 6277 7020
SA,Barker SA 5251,Fax: (02) 6273 4163
,,
,"Tel : (08) 8398 5566, Fax : (08) 8398 5577",
,E-mail: Jamie.Briggs.MP@aph.gov.au,
,,
,,
"Mallee,","1. Mildura: Suite 1, Level 1 (PO Box 1133 Vic 3502),",Tel: (02) 6277 4761
Vic,"50-54 Madden Avenue, Mildura Vic 3500",Fax: (02) 6277 2356
,"Tel : (03) 5021 5987, Fax : (03) 5032 3274",
,,
