StateCo,StateAb,DivName,DivCo,PPName,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,DateFrom,DateTo,TimeFrom,TimeTo
"2","NSW","Grayndler","17","Sydney GRAYNDLER PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65174","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1351101","Assisted","2207","0","20/06/2016","23/06/2016","8:30","17:30"
"2","NSW","Grayndler","17","Sydney GRAYNDLER PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65174","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1351101","Assisted","2207","0","24/06/2016","24/06/2016","8:30","18:00"
"2","NSW","Grayndler","17","Sydney GRAYNDLER PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65174","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1351101","Assisted","2207","0","25/06/2016","25/06/2016","9:00","16:00"
"2","NSW","Grayndler","17","Sydney GRAYNDLER PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65174","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1351101","Assisted","2207","0","27/06/2016","28/06/2016","8:30","17:30"
"2","NSW","Grayndler","17","Sydney GRAYNDLER PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65174","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1351101","Assisted","2207","0","29/06/2016","29/06/2016","8:30","18:00"
"2","NSW","Grayndler","17","Sydney GRAYNDLER PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65174","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1351101","Assisted","2207","0","30/06/2016","30/06/2016","8:30","20:00"
"2","NSW","Grayndler","17","Sydney GRAYNDLER PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65174","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1351101","Assisted","2207","0","01/07/2016","01/07/2016","8:30","18:00"
"2","NSW","Kingsford Smith","22","Sydney KINGSFORD SMITH PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65182","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1362603","Assisted","986","0","20/06/2016","23/06/2016","8:30","17:30"
"2","NSW","Kingsford Smith","22","Sydney KINGSFORD SMITH PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65182","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1362603","Assisted","986","0","24/06/2016","24/06/2016","8:30","17:30"
"2","NSW","Kingsford Smith","22","Sydney KINGSFORD SMITH PPVC","Sydney Town Hall","Druitt St","","","SYDNEY","NSW","2000","65182","Sydney Town Hall","Druitt St  ","SYDNEY","Marconi Room","","-33.8701973","151.2069440","1362603","Assisted","986","0","25/06/2016","25/06/2016","9:00","16:00"
